Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\App.xaml.cs,180,25,T:System.Uri,,,,,"if (protocolArgs.Uri.Host.Equals(Constants.CMD_SET_SETTING, StringComparison.CurrentCultureIgnoreCase))                      {                          var keyStr = splitArgs.FirstOrDefault(x => x.Contains(Constants.ARGS_SETTING_KEY, StringComparison.OrdinalIgnoreCase));                          var valueStr = splitArgs.FirstOrDefault(x => x.Contains(Constants.ARGS_SETTING_VALUE, StringComparison.OrdinalIgnoreCase));                          if (!string.IsNullOrEmpty(keyStr) && !string.IsNullOrEmpty(valueStr))                          {                              AppSettings.Instance.SetCMDSetting(                                  keyStr.Trim().Replace(Constants.ARGS_SETTING_KEY + ""="", """"),                                  valueStr.Trim().Replace(Constants.ARGS_SETTING_VALUE + ""="", """")                              );                          }                      }                        else if (protocolArgs.Uri.Host.Equals(Constants.CMD_CLOSE_PROGRAM, StringComparison.CurrentCultureIgnoreCase))                      {                          BluetoothManager.Instance.Close();                          App.Current.Exit();                      }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\App.xaml.cs,175,25,T:System.Uri,,,,,"if (protocolArgs.Uri.Host.Equals(Constants.CMD_FORCE_REFRESH, StringComparison.CurrentCultureIgnoreCase))                      {                          BluetoothManager.Instance.ForceRefresh();                      }                        else if (protocolArgs.Uri.Host.Equals(Constants.CMD_SET_SETTING, StringComparison.CurrentCultureIgnoreCase))                      {                          var keyStr = splitArgs.FirstOrDefault(x => x.Contains(Constants.ARGS_SETTING_KEY, StringComparison.OrdinalIgnoreCase));                          var valueStr = splitArgs.FirstOrDefault(x => x.Contains(Constants.ARGS_SETTING_VALUE, StringComparison.OrdinalIgnoreCase));                          if (!string.IsNullOrEmpty(keyStr) && !string.IsNullOrEmpty(valueStr))                          {                              AppSettings.Instance.SetCMDSetting(                                  keyStr.Trim().Replace(Constants.ARGS_SETTING_KEY + ""="", """"),                                  valueStr.Trim().Replace(Constants.ARGS_SETTING_VALUE + ""="", """")                              );                          }                      }                        else if (protocolArgs.Uri.Host.Equals(Constants.CMD_CLOSE_PROGRAM, StringComparison.CurrentCultureIgnoreCase))                      {                          BluetoothManager.Instance.Close();                          App.Current.Exit();                      }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\App.xaml.cs,151,25,T:System.Uri,,,,,"if (protocolArgs.Uri.Host.Equals(Constants.CMD_STOP, StringComparison.CurrentCultureIgnoreCase))                      {                          var addressesStr = splitArgs.FirstOrDefault(x => x.Contains(Constants.ARGS_ADDRESSES, StringComparison.OrdinalIgnoreCase));                          string[] addresses = null;                            BluetoothManager bluetoothManager = BluetoothManager.Instance;                            if (addressesStr != null)                          {                              addresses = addressesStr.Trim().Replace(Constants.ARGS_ADDRESSES + ""="", """").Split(',');                              foreach (var address in addresses)                              {                                  bluetoothManager.MusesToAutoStream.Remove(address);                                  bluetoothManager.StopStreamingAddress(address);                              }                          }                            else if(splitArgs.FirstOrDefault(x => x.Contains(Constants.ARGS_STOPALL, StringComparison.OrdinalIgnoreCase)) != null)                          {                              bluetoothManager.MusesToAutoStream.Clear();                              await bluetoothManager.StopStreamingAll();                          }                      }                        else if (protocolArgs.Uri.Host.Equals(Constants.CMD_FORCE_REFRESH, StringComparison.CurrentCultureIgnoreCase))                      {                          BluetoothManager.Instance.ForceRefresh();                      }                        else if (protocolArgs.Uri.Host.Equals(Constants.CMD_SET_SETTING, StringComparison.CurrentCultureIgnoreCase))                      {                          var keyStr = splitArgs.FirstOrDefault(x => x.Contains(Constants.ARGS_SETTING_KEY, StringComparison.OrdinalIgnoreCase));                          var valueStr = splitArgs.FirstOrDefault(x => x.Contains(Constants.ARGS_SETTING_VALUE, StringComparison.OrdinalIgnoreCase));                          if (!string.IsNullOrEmpty(keyStr) && !string.IsNullOrEmpty(valueStr))                          {                              AppSettings.Instance.SetCMDSetting(                                  keyStr.Trim().Replace(Constants.ARGS_SETTING_KEY + ""="", """"),                                  valueStr.Trim().Replace(Constants.ARGS_SETTING_VALUE + ""="", """")                              );                          }                      }                        else if (protocolArgs.Uri.Host.Equals(Constants.CMD_CLOSE_PROGRAM, StringComparison.CurrentCultureIgnoreCase))                      {                          BluetoothManager.Instance.Close();                          App.Current.Exit();                      }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\App.xaml.cs,117,20,T:System.Uri,,,,,"if (protocolArgs.Uri.Host.Equals(Constants.CMD_START, StringComparison.CurrentCultureIgnoreCase))                      {                          BluetoothManager bluetoothManager = BluetoothManager.Instance;                            var addressesStr = splitArgs.FirstOrDefault(x => x.Contains(Constants.ARGS_ADDRESSES, StringComparison.OrdinalIgnoreCase));                          string[] addresses = null;                          var streamFirstStr = splitArgs.FirstOrDefault(x => x.Contains(Constants.ARGS_STREAMFIRST, StringComparison.OrdinalIgnoreCase));                            if (addressesStr != null)                          {                              addresses = addressesStr.Trim().Replace(Constants.ARGS_ADDRESSES + ""="", """").Split(',');                              foreach (var address in addresses)                              {                                  bluetoothManager.MusesToAutoStream.Add(address);                              }                          }                            else if (splitArgs.FirstOrDefault(x => x.Contains(Constants.ARGS_STARTALL, StringComparison.OrdinalIgnoreCase)) != null)                          {                              await bluetoothManager.StartStreamingAll();                          }                            else if (streamFirstStr != null)                          {                              bluetoothManager.StreamFirst = streamFirstStr.Trim().Replace(Constants.ARGS_STREAMFIRST + ""="", """")                                  .Equals(""true"", StringComparison.CurrentCultureIgnoreCase) ? true : false;                          }                            if (!launching)                          {                              bluetoothManager.ResolveAutoStreamAll();                          }                      }                        else if (protocolArgs.Uri.Host.Equals(Constants.CMD_STOP, StringComparison.CurrentCultureIgnoreCase))                      {                          var addressesStr = splitArgs.FirstOrDefault(x => x.Contains(Constants.ARGS_ADDRESSES, StringComparison.OrdinalIgnoreCase));                          string[] addresses = null;                            BluetoothManager bluetoothManager = BluetoothManager.Instance;                            if (addressesStr != null)                          {                              addresses = addressesStr.Trim().Replace(Constants.ARGS_ADDRESSES + ""="", """").Split(',');                              foreach (var address in addresses)                              {                                  bluetoothManager.MusesToAutoStream.Remove(address);                                  bluetoothManager.StopStreamingAddress(address);                              }                          }                            else if(splitArgs.FirstOrDefault(x => x.Contains(Constants.ARGS_STOPALL, StringComparison.OrdinalIgnoreCase)) != null)                          {                              bluetoothManager.MusesToAutoStream.Clear();                              await bluetoothManager.StopStreamingAll();                          }                      }                        else if (protocolArgs.Uri.Host.Equals(Constants.CMD_FORCE_REFRESH, StringComparison.CurrentCultureIgnoreCase))                      {                          BluetoothManager.Instance.ForceRefresh();                      }                        else if (protocolArgs.Uri.Host.Equals(Constants.CMD_SET_SETTING, StringComparison.CurrentCultureIgnoreCase))                      {                          var keyStr = splitArgs.FirstOrDefault(x => x.Contains(Constants.ARGS_SETTING_KEY, StringComparison.OrdinalIgnoreCase));                          var valueStr = splitArgs.FirstOrDefault(x => x.Contains(Constants.ARGS_SETTING_VALUE, StringComparison.OrdinalIgnoreCase));                          if (!string.IsNullOrEmpty(keyStr) && !string.IsNullOrEmpty(valueStr))                          {                              AppSettings.Instance.SetCMDSetting(                                  keyStr.Trim().Replace(Constants.ARGS_SETTING_KEY + ""="", """"),                                  valueStr.Trim().Replace(Constants.ARGS_SETTING_VALUE + ""="", """")                              );                          }                      }                        else if (protocolArgs.Uri.Host.Equals(Constants.CMD_CLOSE_PROGRAM, StringComparison.CurrentCultureIgnoreCase))                      {                          BluetoothManager.Instance.Close();                          App.Current.Exit();                      }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\App.xaml.cs,113,20,T:System.Uri,,,,,argStr = protocolArgs.Uri.PathAndQuery;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\App.xaml.cs,113,20,P:System.Uri.PathAndQuery,,,,,argStr = protocolArgs.Uri.PathAndQuery;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\App.xaml.cs,95,16,T:Windows.Foundation.Size,,,,,ApplicationView.PreferredLaunchViewSize = desiredSize;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\App.xaml.cs,94,16,T:Windows.Foundation.Size,,,,,"var desiredSize = new Size(468d, 660d);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\App.xaml.cs,94,16,"M:Windows.Foundation.Size.#ctor(System.Double,System.Double)",,,,,"var desiredSize = new Size(468d, 660d);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\obj\x86\Release\Pages\MainPage.g.i.cs,47,12,T:System.Uri,,,,,"global::System.Uri resourceLocator = new global::System.Uri(""ms-appx:///Pages/MainPage.xaml"");"
